ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
HB3004;20150918;Myonat;Myosp;0.9;0.838;1;Myosp
HA2001;20150922;Pippip;Pippip;0.9;0.838;1;Pippip
HB505;20150923;Barbar;Barbar;0.9;0.84;1;Barbar
TEA251;20150922;Pleaus;Plesp;0.9;0.84;1;Plesp
HC8002;20150918;Pleaus;Plesp;0.9;0.84;1;Plesp
HB10002;20150923;Barbar;Barbar;0.9;0.844;1;Barbar
EB506;20151009;Barbar;Barbar;0.9;0.844;1;Barbar
HC8002;20150918;Pleaus;Plesp;0.9;0.844;1;Plesp
HC5005;20150926;Pipkuh;Pipkuh;0.9;0.848;1;Pipkuh
TEB253;20150919;Pleaus;Plesp;0.9;0.848;1;Plesp
HB506;20150930;Barbar;Barbar;0.9;0.85;1;Barbar
HB6005;20150923;Myonat;Myosp;0.9;0.85;1;Myosp
HC1004;20150914;Pipkuh;Pipkuh;0.9;0.85;1;Pipkuh
TEC2001;20150912;Pleaus;Plesp;0.9;0.85;1;Plesp
EC3003;20150927;Myonat;Myosp;0.9;0.852;1;Myosp
HC253;20150925;Pipkuh;Pipkuh;0.9;0.852;1;Pipkuh
HC3003;20150913;Pipkuh;Pipkuh;0.9;0.854;1;Pipkuh
HA5002;20150922;Barbar;Barbar;0.9;0.856;1;Barbar
EC3003;20150927;Myonat;Myosp;0.9;0.856;1;Myosp
HC1001;20150910;Pipkuh;Pipkuh;0.9;0.856;1;Pipkuh
HC6003;20150917;Pleaus;Plesp;0.9;0.856;1;Plesp
HB10006;20151006;Pippip;Pippip;0.9;0.858;1;Pippip
HC10005;20150926;Barbar;Barbar;0.9;0.86;1;Barbar
HB6005;20150924;Barbar;Barbar;0.9;0.86;1;Barbar
HC503;20150925;Barbar;Barbar;0.9;0.86;1;Barbar
HB10005;20151001;Myonat;Myosp;0.9;0.86;1;Myosp
EC3003;20150926;Myonat;Myosp;0.9;0.86;1;Myosp
HB504;20150918;Barbar;Barbar;0.9;0.862;1;Barbar
HB256;20151009;Barbar;Barbar;0.9;0.862;1;Barbar
HB7004;20150930;Barbar;Barbar;0.9;0.864;1;Barbar
HC5003;20150917;Barbar;Barbar;0.9;0.864;1;Barbar
HC1001;20150910;Pipkuh;Pipkuh;0.9;0.866;1;Pipkuh
HC509;20151005;Pippip;Pippip;0.9;0.866;1;Pippip
HB8003;20150922;Pippip;Pippip;0.9;0.866;1;Pippip
HC2005;20150916;Pippip;Pippip;0.9;0.866;1;Pippip
EC3003;20150927;Myonat;Myosp;0.9;0.868;1;Myosp
HB509;20151005;Pippip;Pippip;0.9;0.87;1;Pippip
HC7006;20150927;Pippip;Pippip;0.9;0.87;1;Pippip
HC252;20150925;Pippip;Pippip;0.9;0.87;1;Pippip
EB253;20150919;Myonat;Myosp;0.9;0.872;1;Myosp
EC3003;20150926;Myonat;Myosp;0.9;0.874;1;Myosp
HB10002;20150924;Pippip;Pippip;0.9;0.874;1;Pippip
HC10001;20150924;Pippip;Pippip;0.9;0.874;1;Pippip
HB506;20150930;Barbar;Barbar;0.9;0.876;1;Barbar
HB8006;20151006;Pippip;Pippip;0.9;0.876;1;Pippip
EC3003;20150926;Myonat;Myosp;0.9;0.878;1;Myosp
HB7002;20150924;Pippip;Pippip;0.9;0.878;1;Pippip
HC10007;20150927;Pippip;Pippip;0.9;0.882;1;Pippip
HC6007;20151005;Pippip;Pippip;0.9;0.886;1;Pippip
HB251;20150908;Pippip;Pippip;0.9;0.886;1;Pippip
HC8002;20150918;Pleaus;Plesp;0.9;0.886;1;Plesp
HA4001;20150922;Barbar;Barbar;0.9;0.888;1;Barbar
EC3003;20150927;Myonat;Myosp;0.9;0.888;1;Myosp
HB8003;20150921;Pippip;Pippip;0.9;0.888;1;Pippip
HC7002;20150917;Pleaus;Plesp;0.9;0.888;1;Plesp
HC10004;20150926;Barbar;Barbar;0.9;0.89;1;Barbar
HB9007;20151009;Myonat;Myosp;0.9;0.89;1;Myosp
HB10005;20151001;Myonat;Myosp;0.9;0.892;1;Myosp
HB9006;20151005;Pippip;Pippip;0.9;0.892;1;Pippip
HC252;20150925;Pippip;Pippip;0.9;0.892;1;Pippip
EC1003;20150913;Myonat;Myosp;0.9;0.894;1;Myosp
HB9006;20151006;Pippip;Pippip;0.9;0.896;1;Pippip
HB509;20151006;Pippip;Pippip;0.9;0.896;1;Pippip
HC7003;20150916;Pippip;Pippip;0.9;0.896;1;Pippip
HC9008;20150928;Pippip;Pippip;0.9;0.896;1;Pippip
HB2003;20150912;Barbar;Barbar;0.9;0.898;1;Barbar
HC7003;20150917;Pippip;Pippip;0.9;0.898;1;Pippip
EC3003;20150927;Myonat;Myosp;1;0.902;1;Myosp
HB10002;20150924;Pippip;Pippip;1;0.902;1;Pippip
HC8002;20150917;Pleaus;Plesp;1;0.902;1;Plesp
HC1003;20150913;Pleaus;Plesp;1;0.902;1;Plesp
HB5007;20151002;Barbar;Barbar;1;0.904;1;Barbar
HA9001;20150922;Barbar;Barbar;1;0.904;1;Barbar
HB5004;20150923;Myonat;Myosp;1;0.904;1;Myosp
HC5004;20150917;Pipkuh;Pipkuh;1;0.904;1;Pipkuh
HB9006;20151006;Pippip;Pippip;1;0.904;1;Pippip
HC6007;20151005;Pippip;Pippip;1;0.904;1;Pippip
HB7007;20151008;Pippip;Pippip;1;0.904;1;Pippip
TEB501;20150912;Myonat;Myosp;1;0.906;1;Myosp
EC3003;20150926;Myonat;Myosp;1;0.906;1;Myosp
HB9007;20151009;Myonat;Myosp;1;0.906;1;Myosp
HB4001;20150908;Pippip;Pippip;1;0.906;1;Pippip
HB10001;20150919;Pleaus;Plesp;1;0.906;1;Plesp
HB10005;20151001;Barbar;Barbar;1;0.908;1;Barbar
HB251;20150908;Barbar;Barbar;1;0.908;1;Barbar
HC8003;20150924;Barbar;Barbar;1;0.908;1;Barbar
HC8005;20150925;Barbar;Barbar;1;0.908;1;Barbar
HB8004;20150930;Myonat;Myosp;1;0.908;1;Myosp
HA6002;20150922;Myonat;Myosp;1;0.908;1;Myosp
HB6001;20150907;Myonat;Myosp;1;0.908;1;Myosp
HB505;20150924;Myonat;Myosp;1;0.908;1;Myosp
HB501;20150907;Pipkuh;Pipkuh;1;0.908;1;Pipkuh
HB10006;20151006;Pippip;Pippip;1;0.908;1;Pippip
HC1001;20150910;Pippip;Pippip;1;0.908;1;Pippip
HB10002;20150924;Pippip;Pippip;1;0.908;1;Pippip
HB4007;20151006;Myonat;Myosp;1;0.91;1;Myosp
HB257;20151008;Myonat;Myosp;1;0.91;1;Myosp
HB509;20151005;Pippip;Pippip;1;0.91;1;Pippip
HC40010;20150928;Barbar;Barbar;1;0.912;1;Barbar
HC7002;20150917;Barbar;Barbar;1;0.912;1;Barbar
HC3002;20150913;Barbar;Barbar;1;0.912;1;Barbar
EA252;20150923;Myonat;Myosp;1;0.912;1;Myosp
EC3003;20150927;Myonat;Myosp;1;0.912;1;Myosp
HC1006;20150917;Pippip;Pippip;1;0.912;1;Pippip
HC6002;20150917;Pippip;Pippip;1;0.912;1;Pippip
HB251;20150907;Pippip;Pippip;1;0.912;1;Pippip
HC3003;20150914;Pippip;Pippip;1;0.912;1;Pippip
HB7003;20150923;Pippip;Pippip;1;0.912;1;Pippip
HB10005;20151001;Myonat;Myosp;1;0.914;1;Myosp
HB1007;20151001;Barbar;Barbar;1;0.916;1;Barbar
EA252;20150923;Myonat;Myosp;1;0.916;1;Myosp
EC3003;20150926;Myonat;Myosp;1;0.916;1;Myosp
HB9006;20151006;Pippip;Pippip;1;0.916;1;Pippip
HC1004;20150914;Barbar;Barbar;1;0.918;1;Barbar
HB505;20150923;Barbar;Barbar;1;0.918;1;Barbar
TEB501;20150912;Myonat;Myosp;1;0.918;1;Myosp
EC3003;20150926;Myonat;Myosp;1;0.918;1;Myosp
HB9006;20151005;Pippip;Pippip;1;0.918;1;Pippip
